,�..control,country,c_code,region,inc_grp,year,TFP,TFP_wb,TFPgrowth,ghg_serv,ghg_ind,ghg_agr,ghg_agrc,va_ser,va_ind,va_agr,ghg_va_agr,ghg_va_ind,ghg_va_ser,life_expectancy,patents_tot,internet_access,urbanization,popage15_64,ruleoflaw,sch,exports_gdp,imports_gdp,trade.exp.imp.,ed_tc25,fdi_imf,rl_wb2,ROL,innovation_index,education_index,efficiency_index,infrastructure_index,governance_index,pat_wb2,str_agr,str_ind,str_ser,eps,ghg_tot
1,ABW2012,Aruba,ABW,Latin America & Caribbean,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.299,NA,74,42.957,68.98693448,1.316215,111.15977,65.24134891,82.43332599,147.6746749,6.412,0.1943,1.3296,1.316215,-0.1715791,0.512045,0.2540841,0.8642684,1.463177,0.0287,NA,NA,NA,NA,NA
2,AND2012,Andorra,AND,Europe & Central Asia,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.43442462,88.631,NA,1.407764,NA,NA,NA,NA,14.7,0.4648,1.4397,1.407764,-0.0743852,1.323219,1.166547,1.263004,1.622939,0.0173,NA,NA,NA,NA,NA
3,ARM2012,Armenia,ARM,Europe & Central Asia,Upper middle income,2012,1.052579045,1.054,0.053,0.8478,6.0943,2.1428,2.1428,NA,NA,NA,NA,NA,NA,73.82,141,37.5,63.24,69.67964458,-0.4179131,NA,27.56672188,48.40002152,75.9667434,15.488,0.2133,-0.3939,-0.4179131,-0.3480901,1.279077,0.5926046,0.6096132,-0.0660637,0.0093,NA,NA,NA,NA,9.0849
4,ASM2012,American Samoa,ASM,East Asia & Pacific,Upper middle income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.42,NA,1.102443,NA,74.8447205,99.8447205,174.689441,23.688,0.75865,1.1477,1.102443,2.203033,1.672604,1.985499,0.2459407,0.8872616,0.3345,NA,NA,NA,NA,NA
5,BMU2012,Bermuda,BMU,North America,High income,2012,NA,1,0,NA,NA,NA,NA,NA,346.9603389,38.25366415,NA,NA,NA,81.67780488,NA,91.29930452,100,NA,1.102443,76.49402,46.76156566,28.65508619,75.41665185,12.996,0,1.1477,1.102443,0,0.6833164,0,0,1.317517,0.0285,NA,NA,NA,NA,NA
6,CHI2012,Channel Islands,CHI,Europe & Central Asia,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.883,NA,NA,31.059,68.48249988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,CUW2012,Curacao,CUW,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.52439024,NA,NA,89.654,65.96885355,NA,NA,75.68520635,99.9507196,175.635926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,CYM2012,Cayman Islands,CYM,Latin America & Caribbean,High income,2012,NA,NA,NA,NA,NA,NA,NA,3747.790354,291.9695091,13.62291099,NA,NA,NA,NA,NA,69.7,100,NA,0.8967372,NA,NA,NA,NA,NA,NA,NA,0.8967372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DJI2012,Djibouti,DJI,Middle East & North Africa,Lower middle income,2012,NA,1,0,0.111,0,0.6462,0.6462,NA,NA,NA,NA,NA,NA,61.395,NA,8.267232892,77.138,64.32026282,-0.7914565,43.86173,NA,NA,NA,1.848,0.1476,-0.769,-0.7914565,-0.539334,-0.5522999,-0.1300077,-0.5028368,-0.5721003,0.0011,NA,NA,NA,NA,0.7572
10,ERI2012,Eritrea,ERI,Sub-Saharan Africa,Low income,2012,NA,1,0,0.7403,1.6581,4.5706,4.5706,NA,NA,NA,NA,NA,NA,63.238,NA,0.8,NA,NA,-1.387417,59.33432,NA,NA,NA,1.282,0.0771,-1.3224,-1.387417,-0.5436293,-1.071176,-0.4382459,-1.156245,-1.397995,0.00095,NA,NA,NA,NA,6.969
11,FRO2012,Faroe Islands,FRO,Europe & Central Asia,High income,2012,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.0902439,NA,85.33518924,41.225,NA,NA,NA,52.3499285,62.61855429,114.9684828,14.7,0.4648,0,0,0.5234124,1.51656,1.146733,1.206244,0,0.0173,NA,NA,NA,NA,NA
